epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,7289.86,0.60467,0.27226,0.80827,0.99019,0.99069,0.98883,0.87055,0.6362,0.30311,0.78908,0.000198125,0.000198125,0.000198125
87,7371.55,0.61295,0.27275,0.81355,0.98989,0.99116,0.98898,0.87213,0.63236,0.30446,0.78923,0.00018575,0.00018575,0.00018575
88,7460.36,0.60113,0.26706,0.80615,0.99045,0.98925,0.98791,0.86882,0.63956,0.30235,0.78959,0.000173375,0.000173375,0.000173375
89,7543.64,0.60274,0.27231,0.80993,0.99044,0.98946,0.98742,0.8653,0.63968,0.29911,0.78925,0.000161,0.000161,0.000161
90,7629.59,0.60726,0.27149,0.80803,0.99029,0.98983,0.98793,0.86889,0.64103,0.30203,0.78866,0.000148625,0.000148625,0.000148625
91,7714.71,0.60499,0.27338,0.81374,0.98902,0.99106,0.98907,0.86766,0.64837,0.30733,0.7896,0.00013625,0.00013625,0.00013625
92,7798.83,0.59857,0.27144,0.81409,0.98968,0.99133,0.98846,0.87289,0.64252,0.30722,0.7895,0.000123875,0.000123875,0.000123875
93,7882.28,0.60158,0.27291,0.8098,0.99108,0.99066,0.9888,0.8719,0.63677,0.30003,0.78903,0.0001115,0.0001115,0.0001115
94,7967.77,0.59162,0.26678,0.81343,0.99,0.99133,0.98859,0.87058,0.64172,0.30227,0.7895,9.9125e-05,9.9125e-05,9.9125e-05
95,8049.4,0.59671,0.26475,0.81563,0.98896,0.99138,0.98931,0.87363,0.63243,0.29463,0.78898,8.675e-05,8.675e-05,8.675e-05
96,8131.01,0.59665,0.26725,0.81415,0.99017,0.99001,0.98937,0.8738,0.63502,0.30194,0.78985,7.4375e-05,7.4375e-05,7.4375e-05
97,8213.22,0.59179,0.26383,0.81416,0.98921,0.99168,0.98913,0.87214,0.62862,0.30089,0.78856,6.2e-05,6.2e-05,6.2e-05
98,8296.4,0.58721,0.26293,0.8108,0.98948,0.99168,0.98777,0.86927,0.63077,0.29841,0.7882,4.9625e-05,4.9625e-05,4.9625e-05
99,8382.35,0.58767,0.26189,0.81676,0.98955,0.99168,0.98898,0.87243,0.63123,0.30023,0.78798,3.725e-05,3.725e-05,3.725e-05
100,8468.5,0.58072,0.26219,0.8127,0.98978,0.99168,0.98884,0.87276,0.63151,0.29768,0.78878,2.4875e-05,2.4875e-05,2.4875e-05
